"ReportDate","AssetClass","Flow","FlowPct","AssetsEnd","PortfolioChangePct"
"2/24/2016 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",134.124865405,0.1981,68268.7290029,0.6973
"2/24/2016 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",-56.256381525,-0.1702,33253.124402525,0.8175
"2/24/2016 12:00:00 AM","Real Estate-North America-USA-North America-Equity",153.07198296,0.4737,33074.34482159,1.0246
"2/24/2016 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",-164.20823587,-0.402,41128.61780669,1.1508
"2/24/2016 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",-128.361138135,-0.536,24077.606153525,1.0806
"2/24/2016 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",23.23821399,0.0907,25963.700485335,1.2616
"2/24/2016 12:00:00 AM","Technology-North America-USA-North America-Equity",16.407184725,0.1642,10081.805368025,0.8643
"2/24/2016 12:00:00 AM","Telecom-North America-USA-North America-Equity",13.30068101,744.5545,15.12919545,2.348
"2/24/2016 12:00:00 AM","Utilities-North America-USA-North America-Equity",-27.068432,-0.2128,12952.011961855,2.054
"2/17/2016 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",0.30765924,0.1556,206.38179474,4.2698
"2/17/2016 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",-1.478211955,-0.4074,373.51889774,3.363
"2/17/2016 12:00:00 AM","Energy-North America-USA-North America-Equity",10.29420143,0.0661,17330.45667467,11.2478
"2/17/2016 12:00:00 AM","Financials-North America-USA-North America-Equity",-54.550826135,-0.9651,5705.138154725,1.8747
"2/17/2016 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",-58.26811367,-0.4731,12877.33683787,5.143
"2/17/2016 12:00:00 AM","Industrials-North America-USA-North America-Equity",-0.06488052,-0.5837,11.47391067,3.8244
"2/17/2016 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",-358.12948257,-0.1344,276588.70248183,4.0677
"2/17/2016 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-509.27144447,-0.3202,166241.63880632,4.8758
"2/17/2016 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",-245.58410485,-0.1375,185077.964763355,3.8154
"2/17/2016 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",-155.32483693,-0.3426,47064.44292332,4.2073
"2/17/2016 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",-165.641798865,-0.2574,67674.47680916,5.4429
"2/17/2016 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",-64.57774424,-0.2025,33046.41375773,3.8839
"2/17/2016 12:00:00 AM","Real Estate-North America-USA-North America-Equity",-129.874144885,-0.4103,32304.693984765,2.0507
"2/17/2016 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",-70.427891665,-0.1794,40841.236258135,4.2623
"2/17/2016 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",-0.05214859,-2e-04,23946.483669065,5.6921
"2/17/2016 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",-13.82286455,-0.0562,25617.4942808,4.3076
"2/17/2016 12:00:00 AM","Technology-North America-USA-North America-Equity",-20.01930303,-0.2114,9987.452522995,5.7214
"2/17/2016 12:00:00 AM","Telecom-North America-USA-North America-Equity",0.0924373,5.8296,1.786394425,6.836
"2/17/2016 12:00:00 AM","Utilities-North America-USA-North America-Equity",-20.75967348,-0.1648,12717.850839955,1.1746
"2/10/2016 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",2.79369938,1.4327,197.635743675,-0.0722
"2/10/2016 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",-12.304189475,-3.2201,362.796083735,-1.8313
"2/10/2016 12:00:00 AM","Energy-North America-USA-North America-Equity",11.57663816,0.0646,15557.24694803,-13.4347
"2/10/2016 12:00:00 AM","Financials-North America-USA-North America-Equity",-41.968365505,-0.7135,5649.430379855,-3.3382
"2/10/2016 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",-90.37036709,-0.6987,12316.18033691,-4.3268
"2/10/2016 12:00:00 AM","Industrials-North America-USA-North America-Equity",-0.116069855,-1.0255,11.11375402,-0.7751
"2/10/2016 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",-333.06955613,-0.1216,265049.93884861,-3.2693
"2/10/2016 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-565.270396835,-0.3374,159050.63166157,-4.8015
"2/10/2016 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",-66.607440615,-0.0363,178524.781441775,-2.6301
"2/10/2016 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",-342.5290313,-0.7258,45326.102377545,-3.2534
"2/10/2016 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",-169.269003635,-0.2492,64343.934118225,-5.0042
"2/10/2016 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",-162.539742605,-0.4901,31875.06590754,-3.4384
"2/10/2016 12:00:00 AM","Real Estate-North America-USA-North America-Equity",115.56737979,0.3439,31500.098796365,-8.5123
"2/10/2016 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",-149.350509585,-0.3658,39240.58351245,-3.5249
"2/10/2016 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",-30.30460955,-0.1247,22655.96730861,-6.6568
"2/10/2016 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",-168.79347477,-0.6623,24507.40986162,-3.1773
"2/10/2016 12:00:00 AM","Technology-North America-USA-North America-Equity",-18.254361035,-0.1815,9468.727184475,-5.8199
"2/10/2016 12:00:00 AM","Telecom-North America-USA-North America-Equity",0.41422375,33.8198,1.585648515,-4.3645
"2/10/2016 12:00:00 AM","Utilities-North America-USA-North America-Equity",-0.239377725,-0.0018,12590.71092064,-3.0699
"2/3/2016 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",-0.136824645,-0.0735,194.98305478,4.8905
"2/3/2016 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",12.23625678,3.3804,382.097864025,2.1803
"2/3/2016 12:00:00 AM","Energy-North America-USA-North America-Equity",51.81476926,0.2971,17911.947027095,2.5175
"2/3/2016 12:00:00 AM","Financials-North America-USA-North America-Equity",4.4561755,0.0755,5878.705580015,-0.3286
"2/3/2016 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",-40.86618151,-0.306,12919.385431975,-3.0264
"2/3/2016 12:00:00 AM","Industrials-North America-USA-North America-Equity",-0.119034825,-1.0604,11.31763931,1.8854
"2/3/2016 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",-468.202511335,-0.1726,273823.35623789,1.0873
"2/3/2016 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-149.659564105,-0.0899,167538.908758,0.8133
"2/3/2016 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",-527.15195767,-0.291,183364.40003013,1.5037
"2/3/2016 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",-54.33516817,-0.1161,47192.405360195,0.9525
"2/3/2016 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",-12.392092115,-0.0182,67903.272033,0.0374
"2/3/2016 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",-36.749146255,-0.1124,33164.357386565,1.5597
"2/3/2016 12:00:00 AM","Real Estate-North America-USA-North America-Equity",135.236205925,0.4019,33438.12169996,0.0527
"2/3/2016 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",-82.230914005,-0.2035,40824.85976957,1.2172
"2/3/2016 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",-28.676056175,-0.118,24300.136570165,0.1347
"2/3/2016 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",-30.411261265,-0.1207,25485.30911621,1.3213
"2/3/2016 12:00:00 AM","Technology-North America-USA-North America-Equity",2.06379353,0.0207,10057.48467837,1.1522
"2/3/2016 12:00:00 AM","Telecom-North America-USA-North America-Equity",-0.027469575,-2.2029,1.224794225,0.4335
"2/3/2016 12:00:00 AM","Utilities-North America-USA-North America-Equity",20.564944715,0.1673,12989.732484605,5.5189
"1/27/2016 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",-1.077592185,-0.6018,186.0222178,4.4991
